STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140211,-9999,-9999,0,-9999,-9999,244,56,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140212,-9999,-9999,0,-9999,-9999,278,94,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140213,-9999,-9999,0,-9999,-9999,294,100,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140214,-9999,-9999,0,-9999,-9999,300,94,233
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140215,-9999,-9999,0,-9999,-9999,272,100,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140216,-9999,-9999,0,-9999,-9999,278,106,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140217,-9999,-9999,0,-9999,-9999,300,139,206
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140218,-9999,-9999,0,-9999,-9999,217,89,133
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140219,-9999,-9999,0,-9999,-9999,211,100,150
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140220,-9999,-9999,0,-9999,-9999,294,117,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140221,-9999,-9999,0,-9999,-9999,272,194,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140222,-9999,-9999,0,-9999,-9999,244,89,150
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140223,-9999,-9999,0,-9999,-9999,250,94,156
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140224,-9999,-9999,0,-9999,-9999,256,83,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140225,-9999,-9999,0,-9999,-9999,233,111,144
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140226,-9999,-9999,0,-9999,-9999,206,89,161
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140227,-9999,-9999,0,-9999,-9999,228,117,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140228,-9999,-9999,368,-9999,-9999,194,89,106
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140301,-9999,-9999,127,-9999,-9999,183,94,139
