STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150101,-9999,-9999,0,-9999,-9999,161,44,128
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150102,-9999,-9999,0,-9999,-9999,161,56,133
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150103,-9999,-9999,0,-9999,-9999,178,61,144
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150104,-9999,-9999,0,-9999,-9999,217,72,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150105,-9999,-9999,0,-9999,-9999,278,33,233
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150106,-9999,-9999,0,-9999,-9999,311,128,267
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150107,-9999,-9999,0,-9999,-9999,294,111,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150108,-9999,-9999,0,-9999,-9999,244,100,178
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150109,-9999,-9999,0,-9999,-9999,222,117,178
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150110,-9999,-9999,0,-9999,-9999,200,117,161
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150111,-9999,-9999,284,-9999,-9999,178,144,156
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150112,-9999,-9999,0,-9999,-9999,194,89,156
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150113,-9999,-9999,0,-9999,-9999,217,128,178
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150114,-9999,-9999,0,-9999,-9999,244,100,172
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150115,-9999,-9999,0,-9999,-9999,256,94,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150116,-9999,-9999,0,-9999,-9999,250,89,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150117,-9999,-9999,0,-9999,-9999,256,83,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150118,-9999,-9999,0,-9999,-9999,250,89,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150119,-9999,-9999,0,-9999,-9999,239,94,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150120,-9999,-9999,0,-9999,-9999,178,94,133
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150121,-9999,-9999,0,-9999,-9999,244,94,139
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150122,-9999,-9999,0,-9999,-9999,239,111,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150123,-9999,-9999,0,-9999,-9999,256,94,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150124,-9999,-9999,0,-9999,-9999,272,89,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150125,-9999,-9999,0,-9999,-9999,289,94,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150126,-9999,-9999,61,-9999,-9999,222,89,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150127,-9999,-9999,0,-9999,-9999,244,94,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150128,-9999,-9999,0,-9999,-9999,239,100,172
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150129,-9999,-9999,0,-9999,-9999,239,139,178
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150130,-9999,-9999,0,-9999,-9999,217,133,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150131,-9999,-9999,0,-9999,-9999,256,117,172
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150201,-9999,-9999,0,-9999,-9999,250,111,161
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150202,-9999,-9999,0,-9999,-9999,261,106,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150203,-9999,-9999,0,-9999,-9999,244,94,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150204,-9999,-9999,0,-9999,-9999,250,83,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20150205,-9999,-9999,0,-9999,-9999,278,83,172
